words,links,capital_words,spam_word_count,is_spam
249,0,3,2,0
158,9,12,7,1
761,5,29,7,1
164,2,26,10,1
163,3,1,4,0
241,2,5,4,1
723,7,13,10,1
103,1,2,1,0
256,3,23,4,1
32,0,3,1,0
49,1,2,1,0
72,2,3,2,0
560,9,11,0,1
166,4,1,2,0
147,0,2,0,0
337,9,25,4,1
483,0,2,6,0
454,0,0,0,0
611,4,21,5,1
458,6,5,6,1
195,2,28,3,1
510,4,21,9,1
219,2,9,2,0
137,7,18,7,1
280,0,2,6,0
21,0,2,1,0
67,1,3,1,0
81,0,9,1,0
165,0,2,0,0
656,6,27,3,1
283,3,11,9,1
100,2,0,2,0
944,3,23,7,1
226,0,0,4,0
120,1,5,0,0
47,3,1,5,0
343,0,2,1,0
92,0,1,2,0
148,0,1,6,0
26,1,2,3,0
121,10,30,5,1
91,1,9,5,0
776,10,9,3,1
231,4,3,2,0
294,1,0,1,0
124,1,2,1,0
162,3,3,5,0
101,9,16,3,1
209,4,2,4,1
134,8,21,1,1
532,4,26,3,1
521,4,14,8,1
867,8,26,10,1
591,1,18,9,1
96,2,0,0,0
197,7,0,10,1
237,2,2,1,0
246,0,1,2,0
54,2,11,5,1
204,2,2,2,0
272,5,20,5,1
287,4,2,0,0
363,2,0,0,0
218,1,3,3,0
139,5,3,2,0
868,7,5,7,1
221,1,4,1,0
154,4,28,7,1
696,6,7,4,1
237,0,7,2,0
333,10,13,6,1
218,2,2,1,0
629,9,7,2,1
716,0,2,6,1
194,0,3,5,0
63,1,0,2,0
813,9,11,0,1
865,5,7,3,1
229,3,24,6,1
83,1,2,1,0
263,0,3,2,0
38,1,0,1,0
33,1,6,1,0
51,5,7,2,0
510,2,30,7,1
172,0,0,6,0
166,0,9,0,0
278,4,1,3,0
286,0,9,1,0
123,0,0,2,0
213,1,0,0,0
37,0,2,1,0
260,2,7,1,0
353,2,4,2,0
131,5,26,3,1
290,1,3,6,0
209,0,2,1,0
326,1,0,1,0
60,2,3,2,0
132,3,8,5,1
601,8,5,9,1
138,2,3,7,1
371,4,7,6,1
237,1,9,2,0
716,3,28,1,1
297,2,13,7,1
256,2,3,2,0
21,0,2,4,0
682,3,13,10,1
528,7,5,8,1
97,10,6,7,1
166,2,0,1,0
619,2,29,8,1
250,10,0,4,1
295,4,3,0,0
515,3,14,10,1
171,4,1,6,1
862,3,5,5,1
341,6,28,6,1
890,10,28,8,1
254,5,3,2,0
217,0,3,0,0
101,5,0,8,1
173,0,9,0,0
267,3,1,6,0
75,0,2,1,0
163,1,1,3,0
376,8,19,8,1
203,2,2,5,0
96,1,0,0,0
164,1,2,5,0
38,2,0,6,0
61,2,2,3,0
243,4,14,3,1
37,2,2,0,0
112,3,12,3,1
247,0,2,5,0
195,1,0,0,0
88,4,2,2,0
171,4,3,0,0
359,0,2,2,0
103,0,0,1,0
132,0,0,1,0
59,1,0,1,0
114,8,4,2,1
140,1,2,2,0
310,0,2,8,1
198,6,19,1,1
35,5,3,1,0
871,8,6,6,1
735,7,28,4,1
40,1,10,3,0
83,8,14,8,1
88,0,1,1,0
797,8,20,6,1
382,1,14,0,1
292,1,3,1,0
241,0,9,4,0
156,0,0,2,0
81,5,23,3,1
99,0,1,1,0
283,2,3,1,0
207,0,3,1,0
70,7,1,8,1
197,1,10,0,0
178,2,1,2,0
250,1,3,2,0
275,10,28,3,1
244,0,1,1,0
721,3,27,3,1
127,5,23,10,1
48,2,9,1,0
280,0,7,0,0
616,4,30,5,1
269,4,1,2,0
63,6,9,8,1
382,5,4,9,1
168,3,27,5,1
40,2,3,2,0
153,2,29,4,1
65,0,4,2,0
498,8,17,10,1
313,1,2,1,0
125,3,26,2,1
339,2,1,2,0
399,1,2,0,0
140,8,26,8,1
159,5,1,2,0
313,10,28,10,1
92,1,7,0,0
100,2,1,2,0
197,0,2,0,0
180,2,0,1,0
163,1,0,1,0
57,1,1,2,0
885,3,14,5,1
82,3,17,6,1
470,1,18,9,1
363,0,2,0,0
367,3,2,2,0
51,7,9,9,1
376,4,30,10,1
97,2,1,1,0
60,0,9,4,0
458,9,16,5,1
200,1,1,1,0
154,9,25,10,1
264,1,4,1,0
224,1,1,3,0
179,9,29,3,1
833,1,19,7,1
93,9,22,1,1
179,0,1,2,0
195,1,0,0,0
170,6,6,8,1
74,1,0,2,0
206,4,20,6,1
338,2,2,0,0
683,5,0,2,1
143,2,1,1,0
138,6,26,0,1
96,2,0,5,0
491,3,2,2,0
495,0,2,6,0
99,0,1,1,0
357,9,16,1,1
155,2,8,1,0
356,10,17,4,1
350,7,22,7,1
451,1,29,10,1
447,1,8,2,0
259,7,0,5,1
275,0,1,0,0
849,7,0,4,1
200,4,0,2,0
255,0,24,10,1
268,0,0,0,0
196,0,1,2,0
193,0,0,2,0
223,1,3,1,0
858,10,30,6,1
162,0,3,1,0
212,10,6,3,1
184,2,3,2,0
531,3,25,3,1
637,4,7,9,1
340,1,3,6,0
703,9,27,3,1
65,3,2,1,0
108,1,2,0,0
498,7,10,5,1
951,0,14,5,1
125,5,28,5,1
244,2,1,2,0
147,5,0,2,0
405,1,3,2,0
158,10,26,4,1
176,0,7,6,0
336,4,2,0,0
76,3,5,9,1
582,9,9,3,1
41,1,3,3,0
858,5,12,3,1
94,1,2,2,0
474,4,13,3,1
736,5,29,9,1
282,1,1,1,0
277,2,1,2,0
142,2,1,0,0
173,2,3,0,0
99,4,2,0,0
989,10,6,2,1
818,4,11,4,1
223,0,0,1,0
102,2,0,0,0
251,3,27,6,1
165,1,2,1,0
243,1,1,0,0
185,0,3,1,0
247,0,1,2,0
300,1,4,1,0
243,2,0,0,0
202,2,0,0,0
623,3,15,10,1
146,0,2,0,0
134,4,29,7,1
39,4,0,1,0
173,9,11,1,1
94,0,1,2,0
895,5,21,4,1
781,10,3,0,1
838,2,2,3,1
597,7,16,3,1
96,7,5,10,1
100,0,3,1,0
335,2,1,1,0
750,2,13,6,1
430,7,5,9,1
162,5,23,8,1
183,2,0,1,0
72,2,19,4,1
25,5,2,1,0
359,0,1,6,1
899,2,21,7,1
558,0,10,5,1
457,0,2,0,0
152,3,20,2,1
682,4,16,3,1
170,2,2,2,0
403,3,4,4,1
293,1,2,1,0
863,2,22,10,1
274,2,0,1,0
277,3,0,1,0
149,3,25,6,1
290,3,2,2,0
755,9,6,6,1
836,3,6,3,1
328,1,2,1,0
953,8,14,3,1
314,5,15,7,1
63,1,2,0,0
612,0,22,3,1
270,2,5,2,1
882,1,18,9,1
988,8,16,2,1
753,1,5,3,1
109,3,2,0,1
224,10,29,10,1
475,2,1,1,0
145,0,0,1,0
151,0,0,2,0
146,1,2,0,0
174,2,2,2,0
959,2,30,3,1
203,2,24,2,1
421,7,17,5,1
129,10,1,5,1
249,5,2,2,0
971,10,19,4,1
388,7,1,8,1
125,2,6,0,0
856,10,13,0,1
230,3,14,7,1
278,2,3,0,0
147,4,6,3,1
190,9,18,8,1
214,2,0,0,0
451,1,2,1,0
292,0,1,0,0
25,4,0,5,0
192,0,29,4,1
266,0,0,0,0
118,2,3,0,0
209,2,0,1,0
812,7,11,6,1
150,2,10,1,0
193,1,1,1,0
118,5,30,7,1
113,6,18,3,1
295,2,1,1,0
106,8,3,6,1
233,5,1,2,0
128,1,24,1,1
82,6,22,1,1
185,3,3,3,0
165,2,3,0,0
191,6,10,9,1
145,2,3,0,0
231,2,0,2,0
115,0,3,0,0
430,8,18,6,1
70,2,3,0,0
161,6,16,4,1
352,0,1,2,0
431,4,5,5,1
128,4,2,5,0
301,10,3,6,1
21,2,1,1,0
291,1,1,2,0
76,2,2,2,0
141,1,2,1,0
283,0,0,1,0
951,8,8,6,1
966,10,20,10,1
304,3,25,8,1
142,5,4,10,1
633,8,5,10,1
269,1,3,3,0
446,8,3,10,1
809,2,28,6,1
463,1,3,1,0
328,10,1,4,1
477,10,15,8,1
135,3,17,9,1
982,4,15,5,1
56,0,0,5,0
80,0,2,2,0
428,1,0,1,0
337,1,4,3,1
184,2,0,2,0
673,1,19,3,1
36,2,2,6,0
181,1,4,3,0
475,0,0,2,0
434,8,20,9,1
155,4,15,10,1
131,1,2,4,0
490,3,30,1,1
84,1,14,10,1
286,3,23,3,1
180,9,3,10,1
778,3,10,3,1
114,8,6,9,1
231,9,22,5,1
446,1,0,2,0
937,8,7,8,1
452,4,20,5,1
250,4,19,5,1
149,1,8,10,1
426,10,29,2,1
83,10,5,4,1
748,3,22,3,1
270,1,3,4,0
277,0,1,1,0
77,3,3,2,0
644,8,15,4,1
188,2,9,3,0
773,7,1,4,1
121,0,9,6,0
185,1,0,7,1
612,10,20,4,1
232,2,4,2,0
944,10,15,6,1
788,7,25,10,1
160,2,2,0,0
379,3,14,10,1
81,2,1,2,0
217,8,0,10,1
164,10,12,9,1
107,2,0,2,0
66,2,14,5,1
980,2,9,9,1
278,7,18,10,1
209,1,2,2,0
106,2,0,6,0
141,10,29,5,1
183,2,2,5,0
147,2,21,5,1
550,4,19,4,1
207,4,3,0,0
252,1,2,2,0
172,0,0,3,0
263,2,1,1,0
66,1,10,2,0
201,2,16,8,1
905,4,11,8,1
145,2,2,0,0
119,10,13,5,1
39,0,3,1,0
499,2,19,4,1
599,2,18,9,1
180,3,30,5,1
178,0,1,0,0
178,2,1,2,0
386,10,26,2,1
240,4,0,1,1
579,3,7,10,1
88,4,0,1,0
161,5,27,6,1
289,0,1,1,0
127,9,2,7,1
385,4,12,3,1
78,2,0,2,0
159,6,19,7,1
385,3,25,8,1
187,4,28,9,1
944,7,0,4,1
101,1,14,6,1
71,0,0,2,0
933,3,29,4,1
807,7,3,7,1
394,3,4,3,1
601,5,14,0,1
749,2,0,4,1
174,0,24,4,1
390,6,23,3,1
74,1,1,0,0
457,6,26,10,1
255,2,0,0,0
239,4,5,2,1
487,5,3,2,0
61,0,10,3,0
87,10,9,8,1
251,5,5,0,0
222,4,3,2,0
132,2,5,6,0
252,0,0,1,0
904,3,23,7,1
210,2,1,0,0
35,0,2,1,0
178,0,9,6,0
923,2,26,10,1
640,2,29,7,1
111,1,1,1,0
79,2,3,6,0
714,9,30,7,1
269,0,7,0,0
64,0,2,0,0
106,0,1,3,0
727,2,1,10,1
36,2,1,3,0
195,2,5,0,1
242,3,1,6,0
141,1,0,3,1
519,6,5,10,1
493,3,0,2,0
213,0,0,4,0
452,6,12,6,1
212,9,6,8,1
908,3,10,5,1
28,1,2,0,0
342,1,2,0,0
212,5,1,3,0
75,0,0,2,0
738,4,28,7,1
201,0,7,2,0
171,0,3,1,0
670,2,16,2,1
476,2,1,9,1
21,0,0,5,0
958,2,2,4,1
182,2,0,5,0
100,2,2,1,0
269,1,8,0,0
156,1,1,1,0
307,9,17,4,1
167,2,13,1,1
283,2,3,5,0
699,3,5,3,1
78,5,19,3,1
131,2,27,10,1
78,6,5,10,1
522,9,16,10,1
66,1,1,1,0
258,5,9,2,0
840,7,24,5,1
93,1,0,2,0
92,3,29,10,1
553,4,25,4,1
281,2,1,1,0
275,1,2,2,0
655,1,28,3,1
107,6,14,3,1
610,4,25,3,1
587,6,1,10,1
285,0,0,2,0
292,0,4,0,0
542,2,12,3,1
782,1,14,5,1
65,5,2,2,0
151,4,0,6,1
298,2,6,1,0
447,2,0,0,0
174,5,6,2,0
130,2,0,0,0
211,1,2,1,0
170,10,2,6,1
186,0,4,0,0
165,0,20,4,1
46,2,3,1,0
99,1,0,2,0
247,1,1,4,0
20,2,2,0,0
514,5,7,10,1
45,1,1,1,0
665,6,23,2,1
220,2,1,1,0
135,5,3,0,0
78,8,17,10,1
74,2,3,0,0
42,1,2,2,0
142,5,4,2,1
137,3,5,8,1
431,1,1,2,0
195,3,17,6,1
349,3,6,10,1
52,1,1,2,0
364,10,24,8,1
119,2,3,1,0
217,2,30,7,1
638,2,13,10,1
291,0,3,0,0
289,0,2,3,0
242,0,1,1,0
62,1,18,2,1
208,2,0,0,0
362,8,23,8,1
292,2,0,1,0
300,1,1,5,0
35,0,1,1,0
269,3,0,1,0
291,2,2,4,0
243,8,30,7,1
73,2,2,0,0
159,1,2,1,0
371,0,1,3,1
531,0,6,3,1
914,10,5,10,1
229,5,10,0,0
90,7,17,8,1
208,2,0,2,0
879,8,19,6,1
106,5,3,1,0
29,4,2,0,0
540,7,28,10,1
283,2,0,3,0
306,2,7,0,0
81,10,24,4,1
784,9,6,3,1
502,2,4,5,1
124,1,9,0,0
229,0,4,6,0
199,10,15,4,1
247,2,0,0,0
720,0,30,3,1
290,2,2,2,0
304,1,6,2,0
638,9,1,6,1
909,7,5,2,1
166,2,5,4,1
722,10,17,1,1
206,0,0,4,0
979,2,19,6,1
160,9,20,0,1
880,5,22,5,1
614,0,0,3,1
153,5,10,0,0
185,2,21,6,1
177,2,1,1,0
777,2,5,4,1
25,2,3,1,0
992,2,7,1,1
241,2,3,1,0
118,2,1,0,0
357,1,3,1,0
84,2,0,3,1
288,4,0,4,0
179,4,1,2,0
89,1,3,2,0
194,2,0,5,0
75,1,0,2,0
300,10,30,7,1
28,4,1,1,0
240,0,0,2,0
583,2,10,6,1
460,3,15,4,1
214,3,2,1,0
156,2,3,2,0
116,1,11,0,1
235,8,2,3,1
329,3,1,2,0
174,4,0,1,0
168,2,7,2,0
104,3,3,8,1
560,5,0,4,1
134,4,15,7,1
180,1,1,2,0
933,2,7,3,1
937,2,10,7,1
236,0,2,0,0
247,2,4,5,0
281,1,4,6,0
325,2,3,0,0
235,1,0,1,0
208,0,3,4,0
275,1,0,0,0
60,0,2,1,0
279,2,1,1,0
32,4,3,2,0
244,5,7,3,1
308,0,2,2,0
149,3,5,10,1
119,2,10,1,0
1000,3,23,3,1
218,2,3,1,0
116,1,3,0,0
102,2,5,10,1
869,5,5,3,1
306,1,6,0,0
140,2,14,2,1
80,0,30,2,1
254,4,4,8,1
353,2,7,5,1
361,9,25,9,1
170,1,2,0,0
263,2,3,0,0
183,0,2,0,0
169,8,25,9,1
276,5,27,2,1
447,10,5,4,1
240,0,3,5,0
427,3,3,0,0
247,1,7,6,1
451,10,30,6,1
243,5,9,4,1
136,0,1,2,0
268,5,5,6,1
180,7,21,4,1
238,1,0,0,0
72,9,25,3,1
297,2,0,1,0
201,2,1,2,0
578,9,21,10,1
882,0,0,9,1
211,1,0,2,0
429,1,3,4,0
215,1,1,0,0
257,0,2,0,0
141,2,3,0,0
174,1,2,2,0
50,2,23,7,1
601,2,25,5,1
182,4,17,0,1
275,9,3,5,1
260,2,10,2,0
872,7,11,7,1
569,10,30,8,1
69,3,29,3,1
638,5,29,8,1
122,9,5,9,1
170,5,1,0,0
57,3,24,6,1
26,2,1,2,0
984,4,17,9,1
186,2,5,6,1
177,0,1,1,0
166,0,22,7,1
47,2,0,2,0
73,4,3,0,0
897,8,25,2,1
302,2,2,2,0
379,1,0,0,0
108,1,3,2,0
286,3,2,2,0
278,10,11,6,1
292,5,2,1,0
855,4,3,10,1
182,1,1,1,0
927,8,9,9,1
490,0,1,6,0
177,3,19,4,1
228,0,1,2,0
82,10,8,0,1
110,1,18,9,1
271,4,1,0,0
68,1,1,1,0
244,2,2,2,0
140,10,18,9,1
210,3,5,9,1
158,2,21,1,1
170,10,26,6,1
195,2,0,1,0
694,2,16,7,1
205,0,0,1,0
487,0,2,1,0
171,1,3,1,0
238,3,11,9,1
167,0,8,1,0
122,4,20,8,1
158,3,0,1,0
84,2,1,2,0
281,0,30,4,1
67,5,2,2,0
28,1,2,2,0
792,3,28,9,1
184,0,4,0,0
406,0,1,0,0
290,4,0,0,0
218,0,1,6,1
163,2,25,3,1
233,3,26,5,1
42,2,1,0,0
337,0,3,2,0
263,1,3,1,0
442,0,23,5,1
222,2,0,5,0
272,2,3,0,0
609,8,20,8,1
438,2,3,2,0
124,2,0,8,1
67,7,22,9,1
131,2,6,6,1
427,2,2,1,0
156,4,4,0,1
318,9,12,0,1
244,6,6,3,1
188,1,1,1,0
216,7,23,10,1
163,0,7,1,0
743,3,4,1,1
504,8,6,4,1
892,9,20,3,1
233,4,8,2,0
917,6,2,3,1
521,7,25,2,1
764,6,14,10,1
860,5,16,6,1
862,3,2,4,1
183,0,2,0,0
131,0,3,2,0
441,0,3,2,0
114,0,0,3,0
65,2,2,2,0
220,1,2,2,0
124,9,7,5,1
223,1,0,5,0
58,2,1,0,0
220,3,13,3,1
50,3,26,2,1
816,7,20,10,1
105,1,2,0,0
602,8,28,6,1
221,0,2,1,0
205,0,1,2,0
102,1,1,1,0
96,2,3,2,0
132,0,10,0,0
295,2,23,4,1
211,1,2,4,0
151,0,4,2,0
237,0,6,0,0
212,2,0,0,0
89,4,26,4,1
579,9,17,7,1
882,9,23,2,1
844,10,8,1,1
459,2,0,1,0
434,4,8,7,1
255,1,2,0,0
118,0,1,5,1
322,5,2,1,0
646,4,5,7,1
381,1,1,0,0
188,7,10,7,1
106,1,0,0,0
49,0,0,0,0
190,4,5,3,1
36,3,0,2,0
449,2,0,8,1
546,4,7,4,1
250,3,7,0,0
638,10,20,2,1
210,3,2,2,0
306,0,26,10,1
253,0,3,0,0
513,4,4,1,1
384,2,1,0,0
143,1,9,5,1
339,2,1,2,0
120,5,2,1,0
723,6,18,3,1
78,5,3,2,0
180,3,2,0,0
161,1,3,1,0
573,5,27,4,1
259,3,3,2,0
438,4,1,0,0
102,1,2,0,0
98,8,16,2,1
323,9,20,7,1
133,0,2,0,0
70,2,0,1,0
574,7,0,10,1
730,3,17,10,1
245,0,1,2,0
82,2,2,1,0
244,2,0,1,0
302,6,21,8,1
30,1,2,2,0
269,3,0,2,0
232,6,29,9,1
637,5,8,10,1
162,8,12,8,1
176,1,2,1,0
47,2,0,2,0
622,9,22,7,1
287,1,8,2,0
290,0,1,1,0
469,0,10,3,1
168,9,22,0,1
60,1,0,0,0
926,0,20,8,1
158,0,11,6,1
399,5,23,5,1
238,2,2,1,0
677,4,25,3,1
219,2,7,1,0
133,0,1,1,0
376,2,26,7,1
292,1,3,1,0
885,1,25,4,1
614,9,19,7,1
103,0,1,0,0
568,8,20,0,1
925,3,23,2,1
214,0,7,1,0
996,4,19,3,1
124,2,3,1,0
148,2,1,1,0
532,9,15,10,1
199,2,22,4,1
184,4,1,2,0
994,8,16,0,1
299,1,2,2,0
210,3,5,0,0
170,5,21,6,1
240,0,2,1,0
